Category,Keywords
Education Loan,"education loan,student loan,college finance"
Business Loan,"business loan,commercial finance,enterprise loan"
Credit Card,"credit card,visa,mastercard,amex"
Bank Fees,"bank fees,account charges,service fees"
Late Fees,"late fees,penalty,overdue charges"
ATM Withdrawal,"atm withdrawal,cash withdrawal,atm"
Wire Transfer,"wire transfer,bank transfer,electronic transfer"
Currency Exchange,"currency exchange,forex,foreign exchange"
Cryptocurrency,"cryptocurrency,bitcoin,ethereum,crypto"
Stocks,"stocks,shares,equities,market"
Bonds,"bonds,debentures,fixed income"
Mutual Funds,"mutual funds,investment funds,portfolio"
Real Estate,"real estate,property,land,building"
Retirement,"retirement,pension,401k,ira"
Trust Fund,"trust fund,estate planning,inheritance"
Inheritance,"inheritance,bequest,legacy"
Dividends,"dividends,earnings,profits,returns"
Royalties,"royalties,licensing,patent,rights"
Annuities,"annuities,investment,retirement,insurance"
Scholarships,"scholarships,grants,financial aid"
Grants,"grants,funding,financial aid"
Donations,"charity,contribution,aid"
Winnings,"lottery,prize,jackpot"
Settlement,"settlement,legal,compensation"
Alimony,"alimony,spousal support,divorce"
Child Support,"child support,maintenance,divorce"
Interest,"interest,earnings,yield"
Principal,"principal,loan,capital"
Fees,"fees,charges,service fees"
Expenses,"expenses,costs,outlay"
Income,"income,earnings,revenue"
Bonuses,"bonuses,incentives,extra pay"
Commissions,"commissions,sales,brokerage"
Rent Income,"rent,tenant,lease"
Business Income,"business,commercial,enterprise"
Freelance Income,"freelance,contractor,project"
Consulting Income,"consulting,advisor,expert"
Salary Income,"salary,wages,earnings"
Dividend Income,"dividends,earnings,profits"
Interest Income,"interest,earnings,yield"
Capital Gains,"capital gains,investment,profit"
Royalties Income,"royalties,licensing,patent"
Annuities Income,"annuities,investment,retirement"
Insurance Claims,"insurance,claims,payout"
Tax Refund,"tax refund,rebate,return"
Refunds,"refunds,reimbursement,repayment"
Reimbursements,"reimbursements,compensation,repayment"
Gifts Received,"gifts,donation,present"
Donations Received,"donations,charity,contribution"
Inheritance Received,"inheritance,bequest,legacy"
Winnings Received,"winnings,lottery,prize"
Grants Received,"grants,funding,financial aid"
Scholarships Received,"scholarships,grants,financial aid"
Loan Disbursement,"loan,disbursement,credit"
Equity,"Equity,shares,stock,investment"
Dividends Paid,"dividends,payment,distribution"
Employee Benefits,"benefits,health,insurance"
Compensation,"compensation,pay,salary"
Retirement Contribution,"retirement,contribution,pension"
Severance,"Severance,termination,payout"
Unemployment,"unemployment,benefit,assistance"
Social Security,"social security,pension,retirement"
Medicare,"medicare,health,insurance"
Medicaid,"medicaid,health,insurance"
Military Benefits,"military,benefits,aid"
Veterans Benefits,"veterans,benefits,aid"
Education Benefits,"education,benefits,aid"
Family Benefits,"family,benefits,aid"
Child Benefits,"child,benefits,aid"
Housing Benefits,"housing,benefits,aid"
Food Benefits,"food,benefits,aid"
Utility Benefits,"utility,benefits,aid"
Disaster Relief,"disaster,relief,aid"
Legal Settlement,"legal,settlement,compensation"
Insurance Settlement,"insurance,settlement,claim"
Disability Settlement,"disability,settlement,claim"
Accident Settlement,"accident,settlement,claim"
Medical Settlement,"medical,settlement,claim"
Workers Compensation,"workers,compensation,claim"
Debt Settlement,"debt,settlement,negotiation"
Divorce Settlement,"divorce,settlement,alimony"
Inheritance Settlement,"inheritance,settlement,claim"
Estate Settlement,"estate,settlement,claim"
Trust Settlement,"trust,settlement,claim"
Bankruptcy,"bankruptcy,insolvency,liquidation"
Foreclosure,"foreclosure,repossession,bank"
Repossession,"repossession,bank,finance"
Default,"default,loan,finance"
Debt Relief,"debt,relief,forgiveness"
Debt Consolidation,"debt,consolidation,loan"
Tax Relief,"tax,relief,forgiveness"
Penalty,"penalty,fine,forfeiture"
Interest Penalty,"interest,penalty,charge"
Late Payment,"late,payment,charge"
Overdraft,"overdraft,bank,charge"
Credit Default,"credit,default,loan"
Loan Default,"loan,default,finance"
Fraud,"fraud,scam,cheat"
Theft,"theft,stealing,robbery"
Loss,"loss,damage,destruction"
Damage,"damage,loss,destruction"
Destruction,"destruction,loss,damage"
Misappropriation,"misappropriation,fraud,embezzlement"
Embezzlement,"embezzlement,fraud,misappropriation"
Forgery,"forgery,fraud,fake"
Counterfeit,"counterfeit,fake,forgery"
Bribery,"bribery,corruption,illegal"
Corruption,"corruption,bribery,illegal"
Extortion,"extortion,blackmail,coercion"
Blackmail,"blackmail,extortion,coercion"
Coercion,"coercion,extortion,blackmail"
Money Laundering,"money laundering,illegal,fraud"
Illegal,"illegal,unlawful,criminal"
Criminal,"criminal,illegal,unlawful"
Unlawful,"unlawful,illegal,criminal"
Tax Evasion,"tax evasion,illegal,unlawful"
Avoidance,"avoidance,tax,evasion"
Smuggling,"smuggling,illegal,unlawful"
Trafficking,"trafficking,illegal,unlawful"
Bootlegging,"bootlegging,illegal,unlawful"
Piracy,"piracy,illegal,unlawful"
Racketeering,"racketeering,illegal,unlawful"
Espionage,"espionage,spying,illegal"
Spying,"spying,espionage,illegal"
Trespassing,"trespassing,illegal,unlawful"
Poaching,"poaching,illegal,unlawful"
Vandalism,"vandalism,destruction,illegal"
Arson,"arson,fire,illegal"
Kidnapping,"kidnapping,abduction,illegal"
Abduction,"abduction,kidnapping,illegal"
Assault,"assault,attack,illegal"
Battery,"battery,assault,attack"
Robbery,"robbery,theft,stealing"
Burglary,"burglary,theft,breaking in"
Larceny,"larceny,theft,stealing"
Hijacking,"hijacking,stealing,illegal"
Shoplifting,"shoplifting,stealing,illegal"
Pickpocketing,"pickpocketing,stealing,illegal"
Fraudulent,"fraudulent,scam,cheat"
Scam,"scam,fraud,cheat"
Cheat,"cheat,fraud,scam"
Self,"by clg,edc,trf,mob,tpft"
Bank_transfer,rtgs
rtgs,Bank_transfer
