Category,Keywords
Pets,"pet, veterinary, dog, cat, animal care",
Pet Food,pet food,
Health & Wellness,"wellness, diet, nutrition, supplements, health checkup",
Mental Health,"therapy, counseling",
Real Estate & Property,"mortgage, rent, property management, real estate investment",
Land,"land purchase, property acquisition",
Educational Materials,"books, study materials, e-learning resources, online courses",
School Supplies,"school supplies, stationery",
Legal & Administrative,"legal fees, administrative expenses, court fees, regulatory fees",
Compliance,"compliance, regulatory",
Utilities & Home Services,"gas bill, electric bill, water bill, home repair",
Home Services,"cleaning service, repair service",
Entertainment & Leisure,"movie tickets, concerts, events, recreational activities",
Hobbies,"hobbies, crafts, collections",
Pet Care & Veterinary,"vet visit, pet grooming",
Professional Fees,"consultant fee, legal fee, service charge",
Freelance,"freelance work, gig",
Gig Economy,"gig, short-term work",
Office Supplies & Equipment,"stationery, office equipment, furniture",
Workshops,"workshop, seminar, training",
Seminars,"seminar, webinar",
Event Tickets,"concert ticket, sports event, exhibition ticket",
Vacations,"holiday, tour package, cruise",
Tours,"guided tour, excursion",
Subscriptions & Memberships,"online service, digital subscription, magazine subscription",
Clothing & Accessories,"apparel, shoes, jewelry, bags",
Fashion,"fashion, style",
Beauty,"cosmetics, skincare, makeup",
Personal Care,"personal care, haircut, beauty salon",
Cosmetics,"cosmetic, beauty products",
Apparel,"clothing, garments",
Shoes,"footwear, sneakers, boots",
Accessories,"watches, jewelry, bags",
Jewelry,"jewelry, ornament, gem",
Gift Cards,"gift card, voucher",
Stationery,"office supplies, writing materials",
Decor,"home decor, furnishings, interior design",
Furniture,"furniture, sofa, bed, table",
Kitchen,"kitchen appliances, utensils, cookware",
Cleaning,"cleaning supplies, household cleaners",
Events & Parties,"event planning, party supplies, decorations",
Birthday,"birthday, celebration, anniversary",
Weddings,"wedding, ceremony, marriage",
Anniversaries,"anniversary, milestone",
Special Occasions,"special event, festivity, celebration",
Maintenance,"repair, service, maintenance",
Renovation,"home renovation, improvement",
Property,"real estate, property investment, housing",
Interior Design,"interior decor, furniture arrangement",
Home Repairs,"fix, mend, restore",
Community Services,"community service, neighborhood",
Charitable,"charity work, volunteering",
Public Services,"government service, public transport",
Social Services,"social work, counseling",
Public Transportation,"bus, train, subway, commuter",
Taxi,"cab, ride-hailing, uber",
Ride-Sharing,"rideshare, carpool, lyft",
Car Services,"car wash, car repair, service",
Vehicle Maintenance,"oil change, tire change, brake service",
Personal Development,"self-improvement, coaching, personal growth",
Career Development,"career coaching, job training, resume service",
Health Insurance,"medical insurance, health coverage",
Life Insurance,"life insurance, policy premium",
Disability Insurance,"disability coverage, insurance",
Bank Accounts,"checking account, saving account",
Investments,"mutual funds, stocks, bonds, real estate",
Savings,"retirement fund, savings account",
Pension,"pension plan, retirement fund",
Other,"other, unspecified, general",
UNKNOWN,UNKNOWN
example_category,example description
